name	x	y
Achin	9.19266	7.41894
Ghazni	68.42096	33.55391
Kabul	69.17233	34.52813
Badakhshan	11.7505	8.6005
Pul	33.58333	2.58333
Helmand	64.0	31.0
Sar	40.81667	51.85
Kapisa	34.08667	0.95457
Ghor	56.32373	37.07713
Asylum	-123.20056	39.1335
Kunduz Province	31.64975	55.75725
Afghanistan	66.0	33.0
NGO	83.5895	27.813
Iran	53.0	32.0
Baghlan	68.95019	36.13693
Pakistan	70.0	30.0
IDP	83.16394	18.77948
Herat	111.2375	33.75139
NDS	88.17088	24.65635
Farah	62.11638	32.37451
Khost	50.2686	55.60293
Logar	37.21491	55.90519
Takhar	75.76508	31.15847
Netherlands	5.75	52.25
Europe	9.82167	46.7967
Zabul	33.45	2.01667
