name	x	y
Zliten	14.56874	32.46739
Bin	NONE	NONE
Misrata	NONE	NONE
Syria	38.0	35.0
Tripoli	13.18746	32.87519
Iraq	44.0	33.0
Tobruk	23.97639	32.08361
Sirte	16.58866	31.20892
Sabratha	NONE	NONE
Zintan	12.25291	31.93155
Ansar	NONE	NONE
Derna	NONE	NONE
Ajdabiya	20.22625	30.75545
Sidra	NONE	NONE
Ras Lanuf	NONE	NONE
Benghazi	20.06859	32.11486
United Nations	NONE	NONE
BBC	NONE	NONE
