name	x	y
Cameroon	12.5	6.0
Europe	9.14062	48.69096
Gabon	11.75	-1.0
New Bell	9.7215	4.0354
Douala	9.70428	4.04827
Taiwan	121.0	24.0
Africa	21.09375	7.1881
